task_id,task_name,Correct(1) / Wrong(0),Correct(1) / Wrong(0),Correct(1) / Wrong(0),Correct(1) / Wrong(0),Correct(1) / Wrong(0)
0,007bbfb7,1,1,1,1,1
1,00d62c1b,1,1,1,1,1
2,017c7c7b,0,1,1,0,0
3,025d127b,0,0,0,1,1
4,045e512c,1,1,1,1,1
5,0520fde7,1,1,1,1,1
7,05f2a901,1,1,1,1,1
8,06df4c85,1,1,1,1,1
9,08ed6ac7,0,0,0,0,0
10,09629e4f,1,1,1,1,1
11,0962bcdd,1,1,1,1,1
12,0a938d79,1,1,1,1,1
13,0b148d64,0,0,0,0,0
14,0ca9ddb6,1,1,1,1,1
15,0d3d703e,0,0,0,0,0
16,0dfd9992,1,0,1,0,1
17,0e206a2e,0,1,1,1,0
18,10fcaaa3,1,1,1,1,1
19,11852cab,0,0,0,0,0
20,1190e5a7,1,1,1,1,1
21,137eaa0f,0,0,0,0,0
22,150deff5,1,1,1,1,1
23,178fcbfb,1,1,1,1,1
24,1a07d186,1,1,1,1,1
25,1b2d62fb,0,0,0,0,0
26,1b60fb0c,1,1,1,1,1
27,1bfc4729,0,0,0,0,0
28,1c786137,1,0,1,0,0
29,1caeab9d,1,1,1,1,1
30,1cf80156,1,1,1,1,1
31,1e0a9b12,1,1,1,1,1
32,1e32b0e9,1,1,1,0,1
33,1f0c79e5,1,1,1,1,1
34,1f642eb9,1,0,1,1,1
35,1f85a75f,1,0,1,1,0
36,1f876c06,1,0,0,0,1
37,1fad071e,1,1,1,1,1
38,2013d3e2,1,1,1,1,1
39,2204b7a8,1,1,1,0,0
40,22168020,1,1,1,1,1
41,22233c11,1,1,1,1,1
42,2281f1f4,1,1,1,1,1
43,228f6490,1,1,1,1,1
44,22eb0ac0,1,1,1,1,1
45,234bbc79,1,1,1,1,1
46,23581191,1,1,1,1,1
47,239be575,1,1,1,1,1
48,23b5c85d,1,1,1,1,1
49,253bf280,0,0,0,0,0
50,25d487eb,1,1,1,1,1
51,25d8a9c8,1,1,1,1,1
52,25ff71a9,0,0,0,0,0
53,264363fd,1,1,1,1,1
54,272f95fa,0,1,1,0,0
55,27a28665,1,1,1,1,1
56,28bf18c6,0,0,0,0,0
57,28e73c20,0,0,0,0,1
58,29623171,1,1,1,1,1
59,29c11459,0,0,0,0,0
60,29ec7d0e,1,1,1,1,1
61,2bcee788,1,1,1,1,1
62,2bee17df,1,1,1,1,1
63,2c608aff,0,0,1,0,0
64,2dc579da,1,1,1,1,1
65,2dd70a9a,1,1,0,1,1
66,2dee498d,1,1,1,0,1
67,31aa019c,1,1,1,1,1
68,321b1fc6,0,0,0,0,0
69,32597951,1,1,1,1,0
70,3345333e,1,1,1,1,1
71,3428a4f5,1,1,1,0,1
72,3618c87e,0,1,0,0,0
73,3631a71a,1,1,1,1,1
74,363442ee,1,1,1,1,1
75,36d67576,0,0,0,0,0
76,36fdfd69,1,1,1,1,1
77,3906de3d,1,1,0,1,1
78,39a8645d,1,0,0,1,1
79,39e1d7f9,1,1,1,1,1
80,3aa6fb7a,1,1,1,1,1
81,3ac3eb23,1,1,1,0,1
82,3af2c5a8,0,1,0,0,0
83,3bd67248,0,0,0,0,0
84,3bdb4ada,1,1,1,1,1
85,3befdf3e,1,1,1,1,1
86,3c9b0459,0,1,0,0,0
87,3de23699,1,0,0,0,1
88,3e980e27,1,1,1,1,1
89,3eda0437,0,0,0,0,0
90,3f7978a0,1,1,1,1,1
91,40853293,1,1,1,1,1
92,4093f84a,1,1,1,1,1
93,41e4d17e,0,0,0,0,0
94,4258a5f9,1,1,1,1,1
95,4290ef0e,1,1,1,1,1
96,42a50994,0,0,0,0,0
97,4347f46a,1,1,1,1,1
98,444801d8,1,1,1,1,1
99,445eab21,1,1,1,1,1
100,447fd412,1,1,1,1,1
101,44d8ac46,0,0,0,0,0
102,44f52bb0,0,0,0,0,0
103,4522001f,1,1,1,1,1
104,4612dd53,1,1,1,1,1
105,46442a0e,1,1,1,1,1
106,469497ad,0,0,1,1,0
107,46f33fce,0,0,0,0,1
108,47c1f68c,1,0,0,0,0
109,484b58aa,1,1,1,1,1
110,48d8fb45,1,0,1,1,1
111,4938f0c2,1,1,1,1,1
112,496994bd,1,1,1,1,1
113,49d1d64f,1,1,1,1,1
114,4be741c5,0,0,0,0,0
115,4c4377d9,0,0,0,0,0
116,4c5c2cf0,1,1,1,1,1
117,50846271,0,1,1,0,1
118,508bd3b6,1,1,1,1,1
119,50cb2852,1,1,1,1,1
120,5.12E+65,1,1,1,1,1
121,5168d44c,0,0,0,0,0
122,539a4f51,0,0,1,1,0
123,53b68214,1,1,1,1,1
124,543a7ed5,1,1,1,1,1
125,54d82841,1,1,1,1,1
126,54d9e175,0,0,0,0,0
127,5521c0d9,1,1,1,1,1
128,5582e5ca,1,1,1,1,1
129,5614dbcf,1,0,1,0,0
130,56dc2b01,0,0,0,0,0
131,56ff96f3,1,1,1,1,1
132,57aa92db,1,1,1,1,1
133,5ad4f10b,1,1,1,0,0
134,5bd6f4ac,0,0,0,0,0
135,5c0a986e,1,0,0,1,1
136,5c2c9af4,1,1,1,1,1
137,5daaa586,1,1,1,1,1
138,60b61512,0,0,0,0,0
139,6150a2bd,0,0,0,0,0
140,623ea044,1,1,1,1,1
141,62c24649,1,1,1,1,1
142,63613498,1,1,1,1,1
143,6430c8c4,1,1,1,1,1
144,6455b5f5,1,1,1,1,1
145,662c240a,1,1,1,1,1
146,67385a82,1,1,1,1,1
147,673ef223,0,0,0,0,0
148,6773b310,1,1,0,1,1
149,67a3c6ac,0,0,0,0,0
150,67a423a3,0,0,0,0,0
151,67e8384a,0,0,0,0,0
152,681b3aeb,0,0,0,0,1
153,6855a6e4,0,1,0,1,1
154,68b16354,0,0,0,0,0
155,694f12f3,0,0,0,0,0
156,6a1e5592,0,0,0,0,0
157,6aa20dc0,1,1,1,1,1
158,6b9890af,0,0,0,0,0
159,6c434453,1,0,0,0,1
160,6cdd2623,1,1,1,1,1
161,6cf79266,1,1,1,1,1
162,6d0160f0,0,1,1,0,0
163,6d0aefbc,1,1,1,1,1
164,6d58a25d,1,1,1,1,1
165,6d75e8bb,1,1,1,1,1
166,6e02f1e3,0,0,0,0,1
167,6e19193c,1,1,1,1,1
168,6e82a1ae,1,1,1,1,1
169,6ecd11f4,1,1,1,1,1
170,6f8cd79b,0,1,0,0,0
171,6fa7a44f,0,0,0,0,0
172,72322fa7,1,1,1,1,1
173,72ca375d,0,0,0,0,0
174,73251a56,1,1,1,1,1
175,7447852a,1,0,0,0,0
176,7468f01a,1,1,1,1,1
177,746b3537,1,1,1,1,1
178,74dd1130,0,0,0,0,0
179,75b8110e,0,0,0,0,0
180,760b3cac,1,1,1,1,1
181,776ffc46,1,1,1,1,1
182,77fdfe62,1,1,1,1,1
183,780d0b14,0,1,0,0,0
184,7837ac64,1,0,0,0,0
185,794b24be,1,1,1,1,1
186,7b6016b9,1,1,1,1,1
187,7b7f7511,0,0,0,0,0
188,7c008303,1,1,1,1,1
189,7ddcd7ec,0,0,0,0,0
190,7df24a62,0,0,0,0,0
191,7e0986d6,1,1,1,1,0
192,7f4411dc,0,1,0,1,1
193,7fe24cdd,1,1,1,1,1
194,80af3007,1,1,1,1,1
195,810b9b61,1,1,1,1,1
196,82819916,1,1,1,1,1
197,83302e8f,1,1,1,0,1
198,834ec97d,0,0,0,0,0
199,8403a5d5,1,1,1,1,1
200,846bdb03,1,1,1,1,1
201,855e0971,1,1,1,1,1
202,85c4e7cd,0,0,0,0,0
203,868de0fa,1,1,1,1,1
204,8731374e,0,0,0,0,0
205,88a10436,1,0,0,1,0
206,88a62173,1,1,1,1,1
207,8.90E+14,1,0,1,0,1
208,8a004b2b,0,0,0,0,0
209,8be77c9e,1,1,1,1,1
210,8d5021e8,0,0,0,0,0
211,8d510a79,1,1,1,1,1
212,8e1813be,1,1,1,1,1
213,8e5a5113,1,1,1,1,1
214,8eb1be9a,1,1,1,1,1
215,8efcae92,1,1,1,1,1
216,8f2ea7aa,1,1,1,1,1
217,90c28cc7,1,1,0,1,1
218,90f3ed37,1,1,0,0,1
219,913fb3ed,1,1,1,1,1
220,91413438,0,0,1,0,0
221,91714a58,0,0,0,0,0
222,9172f3a0,1,1,1,1,1
223,928ad970,0,0,0,1,0
224,93b581b8,0,0,0,1,0
225,941d9a10,1,0,1,1,1
226,94f9d214,1,1,1,1,1
227,952a094c,1,1,1,1,1
228,9565186b,1,0,1,1,1
229,95990924,0,0,0,0,0
230,963e52fc,1,1,1,1,1
231,97999447,1,1,1,1,1
232,97a05b5b,0,0,0,0,0
233,98cf29f8,1,1,0,0,0
234,995c5fa3,0,0,1,0,0
235,99b1bc43,1,0,1,0,0
236,99fa7670,1,1,0,0,1
237,9aec4887,0,1,0,0,1
238,9af7a82c,1,1,1,1,1
239,9d9215db,1,1,1,1,1
240,9dfd6313,1,1,1,1,1
241,9ecd008a,0,1,0,0,1
242,9edfc990,0,0,0,0,0
243,9f236235,1,1,0,0,1
244,a1570a43,0,0,0,0,0
245,a2fd1cf0,1,1,1,1,1
246,a3325580,0,0,0,0,0
247,a3df8b1e,0,0,0,0,0
248,a416b8f3,1,1,1,1,1
249,a48eeaf7,0,1,1,1,1
250,a5313dff,1,0,1,1,0
251,a5f85a15,1,1,1,1,1
252,a61ba2ce,1,0,1,1,1
253,a61f2674,0,0,0,0,0
254,a64e4611,1,1,1,1,1
255,a65b410d,0,0,0,0,0
256,a68b268e,0,0,1,1,0
257,a699fb00,0,0,0,0,0
258,a740d043,1,1,1,1,1
259,a78176bb,1,0,0,0,0
260,a79310a0,0,0,0,0,0
261,a85d4709,0,0,1,1,1
262,a87f7484,1,1,1,0,1
263,a8c38be5,1,1,1,1,1
264,a8d7556c,1,1,1,1,1
265,a9f96cdd,1,1,1,0,1
266,aabf363d,0,0,0,0,0
267,aba27056,0,0,0,0,0
268,ac0a08a4,0,0,0,0,0
269,ae3edfdc,1,1,1,1,1
270,ae4f1146,1,1,1,1,1
271,aedd82e4,1,1,1,1,1
272,af902bf9,1,1,0,0,0
273,b0c4d837,0,1,1,0,1
274,b190f7f5,1,1,1,1,1
275,b1948b0a,0,0,0,0,0
276,b230c067,1,1,1,1,1
277,b27ca6d3,0,0,0,0,0
278,b2862040,0,0,0,0,0
