task_id,task_name,r_ChatGPT4V_answer,r_ChatGPT4V_answer2,r_ChatGPT4V_answer3,r_ChatGPT4V_answer4,r_ChatGPT4V_answer5,r_ChatGPT4V_answer6,# correct
0,007bbfb7,0,1,0,1,1,0,3
1,00d62c1b,1,1,1,1,1,1,6
2,017c7c7b,1,1,1,1,1,1,6
3,025d127b,0,0,0,0,0,0,0
4,045e512c,0,1,1,0,1,1,4
5,0520fde7,1,1,1,1,1,1,6
7,05f2a901,1,1,1,1,1,1,6
8,06df4c85,1,1,1,1,1,1,6
9,08ed6ac7,1,1,1,1,1,1,6
10,09629e4f,1,1,1,1,1,1,6
11,0962bcdd,1,1,1,1,1,1,6
12,0a938d79,1,0,1,0,1,0,3
13,0b148d64,0,1,1,1,0,1,4
14,0ca9ddb6,1,1,1,1,1,1,6
15,0d3d703e,1,1,1,1,1,1,6
16,0dfd9992,1,1,1,1,1,1,6
17,0e206a2e,0,0,1,0,1,0,2
18,10fcaaa3,1,1,1,1,1,1,6
19,11852cab,1,1,0,0,0,1,3
20,1190e5a7,0,0,0,1,0,0,1
21,137eaa0f,1,1,1,1,1,1,6
22,150deff5,1,1,1,1,1,1,6
23,178fcbfb,1,1,1,1,1,1,6
24,1a07d186,1,1,1,1,1,1,6
25,1b2d62fb,1,1,1,1,1,1,6
26,1b60fb0c,1,1,1,1,1,1,6
27,1bfc4729,1,1,1,1,1,1,6
28,1c786137,1,0,1,0,1,1,4
29,1caeab9d,1,1,1,1,1,1,6
30,1cf80156,1,1,1,1,1,1,6
31,1e0a9b12,1,1,1,1,1,1,6
32,1e32b0e9,1,1,1,1,1,1,6
33,1f0c79e5,1,1,1,1,1,1,6
34,1f642eb9,1,1,1,1,1,1,6
35,1f85a75f,0,1,1,1,0,0,3
36,1f876c06,1,1,1,1,1,1,6
37,1fad071e,1,1,1,1,1,1,6
38,2013d3e2,1,1,1,0,1,1,5
39,2204b7a8,0,0,0,0,0,0,0
40,22168020,1,1,1,1,1,1,6
41,22233c11,1,1,1,1,1,1,6
42,2281f1f4,1,1,1,1,1,1,6
43,228f6490,0,1,1,1,1,0,4
44,22eb0ac0,1,1,1,1,1,1,6
45,234bbc79,1,1,1,1,1,1,6
46,23581191,1,1,1,1,1,1,6
47,239be575,1,1,1,1,1,1,6
48,23b5c85d,1,1,1,1,1,1,6
49,253bf280,1,1,0,0,1,1,4
50,25d487eb,0,1,1,1,0,1,4
51,25d8a9c8,0,0,0,0,0,0,0
52,25ff71a9,0,1,1,1,1,1,5
53,264363fd,0,0,0,0,0,0,0
54,272f95fa,0,1,0,0,0,0,1
55,27a28665,0,1,1,0,1,1,4
56,28bf18c6,0,0,0,0,0,0,0
57,28e73c20,1,1,1,1,1,1,6
58,29623171,1,1,0,1,1,1,5
59,29c11459,0,0,0,0,0,0,0
60,29ec7d0e,1,1,1,1,1,1,6
61,2bcee788,1,1,1,1,1,1,6
62,2bee17df,1,1,1,1,1,1,6
63,2c608aff,0,0,0,0,0,0,0
64,2dc579da,1,1,1,1,1,1,6
65,2dd70a9a,1,1,1,1,1,1,6
66,2dee498d,1,1,1,1,1,1,6
67,31aa019c,1,1,1,1,1,1,6
68,321b1fc6,0,0,0,0,0,0,0
69,32597951,1,1,1,1,1,1,6
70,3345333e,1,1,1,1,1,1,6
71,3428a4f5,0,0,0,0,0,0,0
72,3618c87e,1,1,1,1,1,1,6
73,3631a71a,1,1,1,0,1,1,5
74,363442ee,1,1,1,1,1,1,6
75,36d67576,1,1,0,0,1,0,3
76,36fdfd69,1,0,1,1,1,1,5
77,3906de3d,1,1,1,1,1,1,6
78,39a8645d,0,1,0,1,0,0,2
79,39e1d7f9,1,1,1,1,1,1,6
80,3aa6fb7a,1,1,1,1,1,1,6
81,3ac3eb23,1,1,0,1,1,1,5
82,3af2c5a8,0,0,0,0,0,0,0
83,3bd67248,1,1,0,0,1,1,4
84,3bdb4ada,1,1,1,1,1,1,6
85,3befdf3e,1,1,1,1,1,1,6
86,3c9b0459,0,0,0,0,0,0,0
87,3de23699,1,1,1,1,1,1,6
88,3e980e27,1,1,1,1,1,1,6
89,3eda0437,1,1,1,1,1,1,6
90,3f7978a0,1,1,1,1,1,1,6
91,40853293,1,1,1,1,1,1,6
92,4093f84a,1,1,0,0,0,0,2
93,41e4d17e,1,1,1,1,1,1,6
94,4258a5f9,1,1,1,1,1,1,6
95,4290ef0e,1,1,1,1,1,1,6
96,42a50994,0,0,0,0,0,0,0
97,4347f46a,1,0,1,1,1,1,5
98,444801d8,1,1,1,1,1,1,6
99,445eab21,1,1,1,1,1,1,6
100,447fd412,1,1,1,1,1,1,6
101,44d8ac46,1,1,1,1,1,1,6
102,44f52bb0,1,1,1,1,1,1,6
103,4522001f,1,1,1,1,1,1,6
104,4612dd53,1,1,1,1,1,1,6
105,46442a0e,1,1,1,1,0,1,5
106,469497ad,1,1,1,1,1,1,6
107,46f33fce,0,0,0,0,0,0,0
108,47c1f68c,1,0,1,1,1,1,5
109,484b58aa,1,1,1,1,1,1,6
110,48d8fb45,1,1,1,1,1,1,6
111,4938f0c2,1,1,1,1,1,1,6
112,496994bd,1,1,1,1,1,1,6
113,49d1d64f,1,1,1,1,1,1,6
114,4be741c5,0,0,1,0,0,1,2
115,4c4377d9,0,0,0,0,0,0,0
116,4c5c2cf0,1,1,1,1,1,1,6
117,50846271,1,1,0,1,1,1,5
118,508bd3b6,1,1,1,1,1,1,6
119,50cb2852,1,1,1,1,1,1,6
120,5.12E+65,1,1,1,1,1,1,6
121,5168d44c,1,1,1,1,1,1,6
122,539a4f51,1,1,1,1,0,1,5
123,53b68214,1,1,1,1,1,1,6
124,543a7ed5,1,0,0,1,1,1,4
125,54d82841,1,1,1,1,1,1,6
126,54d9e175,1,1,1,1,1,1,6
127,5521c0d9,1,1,1,1,1,1,6
128,5582e5ca,1,1,1,1,1,1,6
129,5614dbcf,1,1,1,1,1,1,6
130,56dc2b01,1,1,1,1,1,1,6
131,56ff96f3,1,1,1,1,1,1,6
132,57aa92db,1,1,1,1,1,1,6
133,5ad4f10b,1,1,1,1,1,1,6
134,5bd6f4ac,0,0,0,0,0,0,0
135,5c0a986e,1,1,1,1,1,1,6
136,5c2c9af4,1,1,1,1,1,1,6
137,5daaa586,1,1,1,1,1,1,6
138,60b61512,1,1,1,1,1,1,6
139,6150a2bd,1,1,1,1,0,1,5
140,623ea044,1,1,1,1,1,1,6
141,62c24649,1,1,1,1,1,1,6
142,63613498,1,1,0,1,1,1,5
143,6430c8c4,1,1,1,1,1,1,6
144,6455b5f5,0,0,1,0,0,0,1
