task_id,task_name,ChatGPT4V_answer_no_image,ChatGPT4V_answer_no_image2,ChatGPT4V_answer_no_image3,ChatGPT4V_answer_no_image4,ChatGPT4V_answer_no_image5,# correct
0,007bbfb7,1,1,1,1,1,5
1,00d62c1b,1,1,1,1,1,5
3,025d127b,0,1,1,0,0,2
4,045e512c,1,0,0,1,1,3
5,0520fde7,1,1,1,1,1,5
7,05f2a901,1,1,1,1,1,5
8,06df4c85,1,1,1,1,1,5
9,08ed6ac7,0,1,1,1,1,4
10,09629e4f,1,0,0,0,0,1
11,0962bcdd,1,1,1,1,1,5
12,0a938d79,1,1,1,1,1,5
13,0b148d64,0,1,1,1,1,4
14,0ca9ddb6,1,0,0,0,1,2
15,0d3d703e,0,1,1,1,1,4
16,0dfd9992,1,0,0,0,0,1
17,0e206a2e,0,0,1,0,1,2
18,10fcaaa3,1,1,1,1,0,4
19,11852cab,0,1,1,1,1,4
20,1190e5a7,1,0,0,0,0,1
21,137eaa0f,0,1,1,1,1,4
22,150deff5,1,0,0,0,1,2
23,178fcbfb,1,1,1,1,1,5
24,1a07d186,1,1,1,1,0,4
25,1b2d62fb,0,1,1,1,1,4
26,1b60fb0c,1,0,1,0,0,2
27,1bfc4729,0,1,0,1,0,2
28,1c786137,1,0,1,0,1,3
29,1caeab9d,1,0,1,0,1,3
30,1cf80156,1,1,1,1,1,5
31,1e0a9b12,1,1,1,1,1,5
32,1e32b0e9,1,1,1,1,1,5
33,1f0c79e5,1,1,1,0,1,4
34,1f642eb9,1,1,1,1,0,4
35,1f85a75f,1,0,1,1,1,4
36,1f876c06,1,0,1,1,1,4
37,1fad071e,1,0,1,0,0,2
38,2013d3e2,1,1,1,1,1,5
39,2204b7a8,1,1,1,1,1,5
40,22168020,1,1,1,0,1,4
41,22233c11,1,1,1,1,1,5
42,2281f1f4,1,1,1,1,1,5
43,228f6490,1,1,1,1,1,5
44,22eb0ac0,1,1,1,1,1,5
45,234bbc79,1,1,1,1,1,5
46,23581191,1,1,1,1,1,5
47,239be575,1,1,1,1,0,4
48,23b5c85d,1,1,0,1,1,4
49,253bf280,0,1,1,1,1,4
50,25d487eb,1,0,1,0,0,2
51,25d8a9c8,1,1,0,1,1,4
52,25ff71a9,0,1,1,1,0,3
53,264363fd,1,0,1,0,1,3
54,272f95fa,0,1,1,1,1,4
55,27a28665,1,1,0,0,0,2
56,28bf18c6,0,1,1,1,1,4
58,29623171,1,0,0,0,1,2
59,29c11459,0,0,1,0,1,2
60,29ec7d0e,1,1,1,1,0,4
61,2bcee788,1,0,1,0,1,3
62,2bee17df,1,1,1,1,1,5
63,2c608aff,0,1,1,1,1,4
64,2dc579da,1,1,0,1,1,4
65,2dd70a9a,1,0,1,0,0,2
66,2dee498d,1,1,1,1,0,4
