task_id,task_name,Correct(1) / Wrong(0),Correct(1) / Wrong(0),Correct(1) / Wrong(0),Correct(1) / Wrong(0),Correct(1) / Wrong(0)
0,007bbfb7,1,1,0,1,0
1,00d62c1b,1,1,1,1,1
2,017c7c7b,1,1,1,1,1
3,025d127b,0,0,0,0,0
4,045e512c,1,0,1,1,0
5,0520fde7,1,1,1,1,1
6,5269061,1,1,0,1,1
7,05f2a901,1,1,1,1,1
8,06df4c85,1,1,1,1,1
9,08ed6ac7,1,1,1,1,1
10,09629e4f,1,1,1,1,1
11,0962bcdd,1,1,1,1,1
12,0a938d79,1,0,1,0,1
13,0b148d64,0,1,1,1,0
14,0ca9ddb6,1,1,1,1,1
15,0d3d703e,1,1,1,1,1
16,0dfd9992,1,1,1,1,1
17,0e206a2e,1,0,1,0,0
18,10fcaaa3,1,1,1,1,1
19,11852cab,0,0,0,1,1
20,1190e5a7,0,1,0,0,0
21,137eaa0f,1,1,1,1,1
22,150deff5,1,1,1,1,1
23,178fcbfb,1,1,1,1,1
24,1a07d186,1,1,1,1,1
25,1b2d62fb,1,1,1,1,1
26,1b60fb0c,1,1,1,1,1
27,1bfc4729,1,1,1,1,1
28,1c786137,1,0,1,0,1
29,1caeab9d,1,1,1,1,1
30,1cf80156,1,1,1,1,1
31,1e0a9b12,1,1,1,1,1
32,1e32b0e9,1,1,1,1,1
33,1f0c79e5,1,1,1,1,1
34,1f642eb9,1,1,1,1,1
35,1f85a75f,0,1,1,1,0
36,1f876c06,1,1,1,1,1
37,1fad071e,1,1,1,1,1
38,2013d3e2,1,0,1,1,1
39,2204b7a8,0,0,0,0,0
40,22168020,1,1,1,1,1
41,22233c11,1,1,1,1,1
42,2281f1f4,1,1,1,1,1
43,228f6490,1,1,1,1,0
44,22eb0ac0,1,1,1,1,1
45,234bbc79,1,1,1,1,1
46,23581191,1,1,1,1,1
47,239be575,1,1,1,1,1
48,23b5c85d,1,1,1,1,1
49,253bf280,1,0,0,1,1
50,25d487eb,0,1,1,1,0
51,25d8a9c8,0,0,0,0,0
52,25ff71a9,1,1,1,1,0
53,264363fd,0,0,0,0,0
54,272f95fa,0,0,0,1,0
55,27a28665,1,0,1,1,0
56,28bf18c6,0,0,0,0,0
57,28e73c20,1,1,1,1,1
58,29623171,1,1,0,1,1
59,29c11459,0,0,0,0,0
60,29ec7d0e,1,1,1,1,1
61,2bcee788,1,1,1,1,1
62,2bee17df,1,1,1,1,1
63,2c608aff,0,0,0,0,0
64,2dc579da,1,1,1,1,1
65,2dd70a9a,1,1,1,1,1
66,2dee498d,1,1,1,1,1
67,31aa019c,1,1,1,1,1
68,321b1fc6,0,0,0,0,0
69,32597951,1,1,1,1,1
70,3345333e,1,1,1,1,1
71,3428a4f5,0,0,0,0,0
72,3618c87e,1,1,1,1,1
73,3631a71a,1,0,1,1,1
74,363442ee,1,1,1,1,1
75,36d67576,1,0,0,1,1
76,36fdfd69,1,1,1,0,1
77,3906de3d,1,1,1,1,1
78,39a8645d,0,1,0,1,0
79,39e1d7f9,1,1,1,1,1
80,3aa6fb7a,1,1,1,1,1
81,3ac3eb23,1,1,0,1,1
82,3af2c5a8,0,0,0,0,0
83,3bd67248,1,0,0,1,1
84,3bdb4ada,1,1,1,1,1
85,3befdf3e,1,1,1,1,1
86,3c9b0459,0,0,0,0,0
87,3de23699,1,1,1,1,1
88,3e980e27,1,1,1,1,1
89,3eda0437,1,1,1,1,1
90,3f7978a0,1,1,1,1,1
91,40853293,1,1,1,1,1
92,4093f84a,0,0,0,1,1
93,41e4d17e,1,1,1,1,1
94,4258a5f9,1,1,1,1,1
