task_id,task_name,Correct answer,ChatGPT4V answer,Correct(1) / Wrong(0)
0,007bbfb7,4,4,1
1,00d62c1b,4,4,1
2,017c7c7b,5,3,0
3,025d127b,3,3,1
4,045e512c,4,4,1
5,0520fde7,1,1,1
7,05f2a901,5,5,1
8,06df4c85,4,4,1
9,08ed6ac7,1,2,0
10,09629e4f,3,3,1
11,0962bcdd,1,1,1
12,0a938d79,3,3,1
14,0ca9ddb6,3,3,1
16,0dfd9992,4,4,1
17,0e206a2e,2,4,0
18,10fcaaa3,3,3,1
19,11852cab,3,2,0
20,1190e5a7,3,3,1
21,137eaa0f,2,3,0
22,150deff5,3,3,1
23,178fcbfb,3,3,1
24,1a07d186,5,5,1
25,1b2d62fb,1,3,0
26,1b60fb0c,4,4,1
27,1bfc4729,1,4,0
28,1c786137,4,1,0
29,1caeab9d,3,3,1
30,1cf80156,5,5,1
31,1e0a9b12,3,3,1
32,1e32b0e9,1,1,1
33,1f0c79e5,5,5,1
34,1f642eb9,3,3,1
35,1f85a75f,4,3,0
36,1f876c06,4,4,1
37,1fad071e,5,5,1
39,2204b7a8,1,3,0
40,22168020,4,4,1
41,22233c11,5,5,1
42,2281f1f4,3,3,1
43,228f6490,1,1,1
44,22eb0ac0,3,3,1
45,234bbc79,1,1,1
46,23581191,2,2,1
47,239be575,5,5,1
48,23b5c85d,3,3,1
49,253bf280,5,3,0
51,25d8a9c8,4,4,1
53,264363fd,2,2,1
54,272f95fa,2,3,0
55,27a28665,5,5,1
56,28bf18c6,5,4,0
57,28e73c20,4,4,1
58,29623171,4,4,1
59,29c11459,5,3,0
60,29ec7d0e,2,2,1
61,2bcee788,5,5,1
62,2bee17df,2,2,1
63,2c608aff,1,3,0
64,2dc579da,3,3,1
65,2dd70a9a,3,3,1
66,2dee498d,5,5,1
67,31aa019c,3,3,1
68,321b1fc6,1,3,0
69,32597951,3,2,0
70,3345333e,3,3,1
71,3428a4f5,2,2,1
73,3631a71a,5,5,1
74,363442ee,4,4,1
75,36d67576,1,3,0
76,36fdfd69,4,4,1
78,39a8645d,4,4,1
79,39e1d7f9,3,3,1
80,3aa6fb7a,5,5,1
81,3ac3eb23,2,2,1
82,3af2c5a8,5,4,0
83,3bd67248,5,3,0
84,3bdb4ada,4,4,1
85,3befdf3e,3,3,1
86,3c9b0459,5,3,0
87,3de23699,2,2,1
88,3e980e27,4,4,1
89,3eda0437,1,2,0
90,3f7978a0,3,3,1
91,40853293,3,3,1
92,4093f84a,5,5,1
93,41e4d17e,4,3,0
94,4258a5f9,4,4,1
95,4290ef0e,4,4,1
96,42a50994,1,4,0
97,4347f46a,4,4,1
98,444801d8,5,5,1
99,445eab21,2,2,1
100,447fd412,4,4,1
102,44f52bb0,5,3,0
103,4522001f,2,2,1
104,4612dd53,1,1,1
105,46442a0e,3,3,1
106,469497ad,4,3,0
107,46f33fce,2,2,1
108,47c1f68c,1,3,0
109,484b58aa,3,3,1
110,48d8fb45,3,3,1
111,4938f0c2,4,4,1
112,496994bd,3,3,1
113,49d1d64f,4,4,1
114,4be741c5,4,3,0
115,4c4377d9,2,3,0
116,4c5c2cf0,2,2,1
117,50846271,2,2,1
118,508bd3b6,2,2,1
119,50cb2852,3,3,1
120,5117e062,4,4,1
122,539a4f51,2,3,0
123,53b68214,1,1,1
124,543a7ed5,3,3,1
125,54d82841,4,4,1
126,54d9e175,1,2,0
127,5521c0d9,5,5,1
128,5582e5ca,5,5,1
129,5614dbcf,1,3,0
130,56dc2b01,4,3,0
131,56ff96f3,5,5,1
132,57aa92db,4,4,1
133,5ad4f10b,1,4,0
135,5c0a986e,2,2,1
136,5c2c9af4,1,1,1
137,5daaa586,1,1,1
138,60b61512,5,3,0
139,6150a2bd,1,3,0
140,623ea044,3,3,1
141,62c24649,3,3,1
142,63613498,3,3,1
143,6430c8c4,3,3,1
144,6455b5f5,2,2,1
146,67385a82,4,4,1
147,673ef223,2,3,0
148,6773b310,4,4,1
149,67a3c6ac,1,2,0
150,67a423a3,1,2,0
151,67e8384a,1,2,0
152,681b3aeb,1,1,1
153,6855a6e4,2,2,1
154,68b16354,5,3,0
155,694f12f3,5,3,0
156,6a1e5592,5,3,0
157,6aa20dc0,4,4,1
159,6c434453,5,5,1
160,6cdd2623,5,5,1
161,6cf79266,5,5,1
162,6d0160f0,3,2,0
163,6d0aefbc,2,2,1
164,6d58a25d,5,5,1
167,6e19193c,3,3,1
168,6e82a1ae,3,3,1
169,6ecd11f4,5,5,1
170,6f8cd79b,5,3,0
171,6fa7a44f,2,3,0
172,72322fa7,2,2,1
173,72ca375d,2,3,0
174,73251a56,5,5,1
175,7447852a,5,3,0
176,7468f01a,3,3,1
177,746b3537,3,3,1
178,74dd1130,4,3,0
179,75b8110e,5,3,0
180,760b3cac,2,2,1
181,776ffc46,5,5,1
182,77fdfe62,4,4,1
183,780d0b14,2,1,0
184,7837ac64,1,3,0
185,794b24be,3,3,1
186,7b6016b9,3,3,1
187,7b7f7511,1,3,0
188,7c008303,3,3,1
189,7ddcd7ec,1,4,0
190,7df24a62,1,3,0
192,7f4411dc,2,2,1
193,7fe24cdd,5,5,1
195,810b9b61,3,3,1
196,82819916,1,1,1
197,83302e8f,1,1,1
198,834ec97d,1,3,0
199,8403a5d5,3,3,1
200,846bdb03,2,2,1
201,855e0971,3,3,1
202,85c4e7cd,5,4,0
203,868de0fa,5,5,1
204,8731374e,1,4,0
205,88a10436,4,3,0
206,88a62173,4,4,1
207,890034e9,1,1,1
